,x_max,x_min
teff,7990.0,4010.0
logg,5.19,0.01
mh,0.5,-2.5
alpha,0.5,-0.5
vmic,4.42,0.73
vsini,10.0,2.0
Li,-9.946,-13.926
C,-2.656,-6.636
N,-3.206,-7.206
O,-2.356,-6.336
Na,-4.736,-8.726
Al,-4.586,-8.566
Mg,-3.496,-7.476
Si,-3.506,-7.476
Ti,-6.136,-10.106
K,-5.946,-9.926
Ca,-4.696,-8.686
Mn,-5.536,-9.516
Cr,-5.406,-9.386
Ni,-4.826,-8.806
S,-3.856,-7.826
V,-7.046,-11.036
Sc,-7.966,-11.956
Ba,-8.856,-12.856
La,-9.866,-13.856
Eu,-10.526,-14.506
Y,-8.846,-12.826
Zn,-6.406,-10.396
Zr,-8.446,-12.426
Cu,-6.786,-10.776
